Gross Output by Industry,,,,,,,,,,,,,,,,,,,,,,,
[Millions of dollars],,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,
"Release Date: October 29, 2019",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Line,,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
    49,  Information,730598,808383,913487,1008737,1039341,1045319,1049194,1084641,1131636,1183888,1220793,1254914,1219667,1268915,1324820,1382542,1437340,1512155,1571231,1661756,1710024,1833467
    50,"    Publishing industries, except internet (includes software)",190768,214109,238696,259553,262137,264849,261936,279744,291922,304505,311075,312885,288333,289258,298185,296240,308687,321086,321250,333314,342380,366723
    51,    Motion picture and sound recording industries,89500,96853,104703,115294,121981,122585,130593,129392,133440,135886,137057,131082,123112,129789,128331,131697,135195,136822,143039,149511,152291,165369
    52,    Broadcasting and telecommunications,404143,446855,506107,563091,581215,576711,574113,585905,609608,634554,654186,672762,664869,687338,709654,733115,752312,792998,816027,853647,847098,872400
    53,"    Data processing, internet publishing, and other information services",46187,50566,63981,70799,74008,81174,82551,89601,96666,108943,118475,138186,143353,162530,188651,221490,241147,261249,290914,325284,368255,428975
    54,"  Finance, insurance, real estate, rental, and leasing",2411854,2610555,2834698,3127995,3221574,3344286,3562497,3867706,4244494,4486217,4682126,4653313,4472660,4587519,4736375,5036779,5305271,5656852,5944879,6234032,6590841,6972365
    55,    Finance and insurance,1005902,1113095,1235624,1393746,1388939,1405822,1499045,1612537,1746398,1877685,2023066,1992742,1870491,1908229,1968832,2140552,2270621,2453876,2568420,2664848,2840472,3029070
    56,"      Federal Reserve banks, credit intermediation, and related activities",393815,429934,478399,526342,555587,586006,613872,630981,670480,696807,715401,701177,688981,684725,677336,748453,762871,808329,816867,863338,923560,986995
    57,"      Securities, commodity contracts, and investments",205979,243947,292429,357165,312813,286399,307988,344535,382013,446925,501538,457314,436254,454393,452234,478470,518632,558422,568264,576411,618806,672037
    58,      Insurance carriers and related activities,349963,373823,390195,420321,439606,462013,506927,556419,605731,636032,691789,715905,645369,660134,725442,796346,850381,942106,1019635,1069237,1142549,1203519
    59,"      Funds, trusts, and other financial vehicles",56145,65392,74602,89918,80933,71405,70258,80603,88174,97921,114338,118345,99887,108977,113820,117282,138737,145020,163653,155863,155556,166519
    60,    Real estate and rental and leasing,1405952,1497459,1599074,1734249,1832635,1938464,2063452,2255168,2498096,2608532,2659061,2660572,2602169,2679290,2767543,2896227,3034650,3202975,3376459,3569184,3750369,3943296
    61,      Real estate,1256064,1327067,1410828,1524115,1622765,1736554,1844518,2024215,2247553,2346029,2388965,2371040,2351255,2410765,2482818,2597576,2717083,2864931,3043988,3241040,3419010,3602248
    62,        Housing,857869,911352,967968,1028524,1103724,1152898,1196879,1267217,1358465,1445804,1504514,1556501,1594493,1606854,1658694,1708257,1753088,1833260,1946412,2048631,2140834,2234275
    63,        Other real estate,398195,415715,442860,495591,519041,583656,647639,756998,889088,900225,884451,814539,756763,803911,824124,889319,963995,1031670,1097576,1192410,1278175,1367973
    64,      Rental and leasing services and lessors of intangible assets,149887,170392,188246,210134,209870,201909,218934,230954,250543,262503,270095,289531,250913,268525,284725,298651,317567,338045,332471,328143,331360,341048
    65,  Professional and business services,1345870,1510295,1653855,1809932,1835322,1852181,1944179,2100281,2281235,2438509,2643356,2739155,2593598,2712220,2868584,3009043,3095105,3298807,3459516,3616662,3842539,4109063
    66,"    Professional, scientific, and technical services",799825,889601,977642,1073852,1103469,1122583,1171597,1247565,1346169,1432019,1544501,1624266,1559571,1617956,1710797,1785035,1820716,1919727,1999322,2094239,2221788,2375922
    67,      Legal services,155643,170184,180905,187739,200687,212020,238963,252041,270158,280968,290423,292145,279853,285994,297749,306975,309179,317819,331360,340142,362634,364601
    68,      Computer systems design and related services,123875,153588,186188,210685,205236,199741,197725,201584,217835,230453,256941,281934,279662,305029,330931,354201,358785,377828,381852,406509,434261,472251
    69,"      Miscellaneous professional, scientific, and technical services",520307,565830,610548,675428,697546,710821,734909,793940,858177,920598,997137,1050187,1000056,1026934,1082116,1123860,1152752,1224080,1286110,1347588,1424892,1539070
    70,    Management of companies and enterprises,195164,221660,240135,260189,259555,261756,280575,320801,354808,383657,433424,432647,400165,422154,446492,478778,498995,531325,561818,566546,602446,635695
    71,    Administrative and waste management services,350881,399033,436078,475892,472298,467842,492007,531915,580258,622833,665431,682242,633862,672110,711295,745230,775394,847756,898376,955877,1018305,1097446
    72,      Administrative and support services,308911,352565,385370,423179,418912,414373,434705,469879,513496,549378,588906,602711,559026,589673,628101,661652,690314,757919,808399,860943,917708,991310
    73,      Waste management and remediation services,41969,46468,50708,52713,53386,53468,57302,62036,66762,73455,76525,79531,74836,82437,83194,83578,85080,89837,89976,94935,100597,106137
    74,"  Educational services, health care, and social assistance",929400,987913,1038644,1110029,1208330,1306760,1395932,1482522,1579333,1674644,1780920,1898598,1997598,2090905,2173593,2265454,2313658,2398759,2529842,2655236,2768270,2893356
    75,    Educational services,113120,121743,129968,141721,155568,166292,176653,185356,195127,213484,236608,257304,273519,292913,306430,309438,319754,330228,342165,353577,365645,369562
    76,    Health care and social assistance,816280,866170,908677,968308,1052762,1140468,1219279,1297167,1384206,1461160,1544312,1641295,1724080,1797993,1867164,1956016,1993903,2068531,2187677,2301659,2402626,2523794
    77,      Ambulatory health care services,388193,408020,425841,452569,492480,529560,566791,607354,642926,671753,707877,745514,773438,803224,833752,868802,874752,909009,957505,1004749,1045482,1099758
    78,      Hospitals,271305,289792,303182,320114,345483,381988,408730,435180,469551,501798,529809,569055,610637,636461,667170,708843,732550,758522,811930,859335,898881,943273
    79,      Nursing and residential care facilities,95206,102046,105889,112511,121171,128413,137369,144513,154855,163216,172632,181412,186589,195721,201868,208930,213892,221088,231054,240745,248195,259078
    80,      Social assistance,61576,66313,73765,83115,93628,100507,106389,110120,116874,124393,133994,145314,153415,162586,164374,169440,172710,179912,187188,196829,210068,221685
    81,"  Arts, entertainment, recreation, accommodation, and food services",550825,582590,618501,670184,689628,720442,757982,807183,854994,912487,955904,978419,955174,979225,1030042,1093441,1139417,1212647,1298100,1355929,1423353,1508189
    82,"    Arts, entertainment, and recreation",127378,133528,142563,151457,159990,167271,180458,191883,202012,222694,241508,247533,244098,245904,252149,264524,274075,288433,305263,319304,341460,362547
    83,"      Performing arts, spectator sports, museums, and related activities",59313,64578,69219,75863,83005,90978,97441,101118,106403,116430,126641,131770,133254,134044,136600,144745,149523,159039,169131,176786,188993,202298
    84,"      Amusements, gambling, and recreation industries",68065,68950,73344,75594,76985,76293,83017,90765,95610,106264,114868,115763,110844,111860,115549,119779,124552,129394,136132,142518,152467,160250
    85,    Accommodation and food services,423447,449061,475939,518728,529638,553171,577523,615300,652982,689793,714395,730885,711076,733321,777894,828917,865342,924214,992837,1036625,1081892,1145642
    86,      Accommodation,116482,123761,133821,150320,144684,147634,151249,163140,177409,187473,192793,197994,181937,185668,198741,214942,225962,244184,258538,267073,273588,286713
